기간,이름,종류,수출금액,수입금액,무역수지
2000.01,부산항,항구,5140310.0,3605241.0,1535069.0
2000.01,김포공항,공항,3731834.0,3655406.0,76429.0
2000.01,포항(공)항,공항항구,143024.0,229018.0,-85993.0
2000.01,군산(공)항,공항항구,106305.0,51536.0,54769.0
2000.01,김해공항,공항,24656.0,203836.0,-179180.0
2000.01,진해항,항구,18196.0,5480.0,12717.0
2000.01,청주공항,공항,1722.0,0.0,1722.0
2000.01,속초공항(삼척항),공항항구,881.0,0.0,881.0
2000.01,인천공항국제우편세관,세관,729.0,147.0,582.0
2000.01,대구공항,공항,658.0,206.0,451.0
2000.01,서울세관,세관,11.0,1435.0,-1425.0
2000.02,부산항,항구,4984788.0,3321729.0,1663059.0
2000.02,김포공항,공항,3598510.0,3901272.0,-302763.0
2000.02,포항(공)항,공항항구,147193.0,212329.0,-65137.0
2000.02,군산(공)항,공항항구,87516.0,58990.0,28526.0
2000.02,김해공항,공항,22473.0,200720.0,-178248.0
2000.02,청주공항,공항,3700.0,157.0,3543.0
2000.02,속초공항(삼척항),공항항구,852.0,34.0,819.0
2000.02,인천공항국제우편세관,세관,800.0,210.0,590.0
2000.02,대구공항,공항,752.0,241.0,512.0
2000.02,진해항,항구,440.0,22292.0,-21852.0
2000.02,서울세관,세관,129.0,2691.0,-2562.0
2000.03,부산항,항구,6047778.0,4080972.0,1966805.0
2000.03,김포공항,공항,4123726.0,4776826.0,-653100.0
2000.03,포항(공)항,공항항구,158713.0,228348.0,-69635.0
2000.03,군산(공)항,공항항구,113799.0,71189.0,42610.0
2000.03,김해공항,공항,32750.0,200417.0,-167667.0
2000.03,진해항,항구,22298.0,10671.0,11626.0
2000.03,청주공항,공항,3178.0,2.0,3176.0
2000.03,인천공항국제우편세관,세관,931.0,250.0,682.0
2000.03,대구공항,공항,862.0,206.0,656.0
2000.03,속초공항(삼척항),공항항구,452.0,94.0,358.0
2000.03,서울세관,세관,67.0,1226.0,-1159.0
2000.04,부산항,항구,5593812.0,3823350.0,1770463.0
2000.04,김포공항,공항,3875544.0,4489208.0,-613665.0
2000.04,포항(공)항,공항항구,152664.0,235420.0,-82756.0
2000.04,군산(공)항,공항항구,119934.0,70666.0,49268.0
2000.04,진해항,항구,68996.0,10211.0,58785.0
2000.04,김해공항,공항,23657.0,185840.0,-162183.0
2000.04,청주공항,공항,1742.0,0.0,1742.0
2000.04,인천공항국제우편세관,세관,929.0,275.0,654.0
2000.04,속초공항(삼척항),공항항구,832.0,20.0,813.0
2000.04,대구공항,공항,683.0,210.0,473.0
2000.04,서울세관,세관,44.0,3052.0,-3007.0
2000.05,부산항,항구,5914069.0,3908017.0,2006052.0
2000.05,김포공항,공항,4445377.0,4616001.0,-170624.0
2000.05,포항(공)항,공항항구,162574.0,159391.0,3183.0
2000.05,군산(공)항,공항항구,119968.0,80478.0,39490.0
2000.05,김해공항,공항,32858.0,195715.0,-162857.0
2000.05,청주공항,공항,1710.0,3.0,1708.0
2000.05,대구공항,공항,1013.0,207.0,806.0
2000.05,속초공항(삼척항),공항항구,964.0,155.0,808.0
2000.05,인천공항국제우편세관,세관,856.0,459.0,397.0
2000.05,진해항,항구,372.0,7565.0,-7192.0
2000.05,서울세관,세관,77.0,1476.0,-1399.0
2000.05,오산공항,공항,0.0,0.0,0.0
2000.06,부산항,항구,6118992.0,3782059.0,2336933.0
2000.06,김포공항,공항,4561394.0,4467309.0,94084.0
2000.06,포항(공)항,공항항구,150032.0,225900.0,-75868.0
2000.06,군산(공)항,공항항구,57593.0,72511.0,-14918.0
2000.06,김해공항,공항,34993.0,186139.0,-151147.0
2000.06,진해항,항구,23165.0,66587.0,-43423.0
2000.06,청주공항,공항,1949.0,0.0,1949.0
2000.06,속초공항(삼척항),공항항구,1731.0,284.0,1448.0
2000.06,인천공항국제우편세관,세관,1139.0,408.0,732.0
2000.06,대구공항,공항,1043.0,184.0,859.0
2000.06,서울세관,세관,39.0,2106.0,-2067.0
2000.07,부산항,항구,5895923.0,3876457.0,2019466.0
2000.07,김포공항,공항,4418729.0,4606696.0,-187966.0
2000.07,군산(공)항,공항항구,146386.0,70098.0,76288.0
2000.07,포항(공)항,공항항구,138498.0,224144.0,-85646.0
2000.07,진해항,항구,44157.0,30681.0,13476.0
2000.07,김해공항,공항,35047.0,185344.0,-150297.0
2000.07,속초공항(삼척항),공항항구,2436.0,101.0,2335.0
2000.07,청주공항,공항,1715.0,0.0,1715.0
2000.07,인천공항국제우편세관,세관,986.0,318.0,668.0
2000.07,대구공항,공항,846.0,122.0,725.0
2000.07,서울세관,세관,36.0,886.0,-850.0
2000.08,부산항,항구,5668050.0,3911156.0,1756894.0
2000.08,김포공항,공항,4677087.0,4690516.0,-13429.0
2000.08,포항(공)항,공항항구,160714.0,200004.0,-39290.0
2000.08,군산(공)항,공항항구,76777.0,67132.0,9646.0
2000.08,김해공항,공항,37747.0,234050.0,-196303.0
2000.08,속초공항(삼척항),공항항구,2371.0,647.0,1723.0
2000.08,청주공항,공항,2257.0,8.0,2249.0
2000.08,대구공항,공항,1679.0,144.0,1536.0
2000.08,인천공항국제우편세관,세관,1189.0,402.0,787.0
2000.08,진해항,항구,1116.0,2804.0,-1687.0
2000.08,서울세관,세관,111.0,540.0,-429.0
2000.09,부산항,항구,5605165.0,3649812.0,1955353.0
2000.09,김포공항,공항,4991218.0,4495563.0,495656.0
2000.09,포항(공)항,공항항구,141872.0,237457.0,-95584.0
2000.09,군산(공)항,공항항구,111068.0,64400.0,46668.0
2000.09,김해공항,공항,40733.0,239016.0,-198283.0
2000.09,진해항,항구,22026.0,15172.0,6854.0
2000.09,청주공항,공항,4440.0,1.0,4440.0
2000.09,속초공항(삼척항),공항항구,2533.0,1081.0,1452.0
2000.09,인천공항국제우편세관,세관,1305.0,261.0,1044.0
2000.09,대구공항,공항,882.0,81.0,801.0
2000.09,서울세관,세관,15.0,130.0,-116.0
2000.10,부산항,항구,5842008.0,3803813.0,2038195.0
2000.10,김포공항,공항,4812256.0,4742734.0,69521.0
2000.10,포항(공)항,공항항구,145552.0,174278.0,-28725.0
2000.10,군산(공)항,공항항구,131424.0,70723.0,60701.0
2000.10,김해공항,공항,36105.0,225356.0,-189251.0
2000.10,진해항,항구,21077.0,4511.0,16566.0
2000.10,청주공항,공항,3211.0,1.0,3210.0
2000.10,속초공항(삼척항),공항항구,1689.0,1159.0,530.0
2000.10,인천공항국제우편세관,세관,1260.0,332.0,928.0
2000.10,대구공항,공항,787.0,97.0,690.0
2000.10,서울세관,세관,14.0,33.0,-18.0
2000.11,부산항,항구,5615597.0,3727907.0,1887689.0
2000.11,김포공항,공항,4621281.0,4435058.0,186222.0
2000.11,포항(공)항,공항항구,133727.0,165225.0,-31498.0
2000.11,군산(공)항,공항항구,87698.0,66361.0,21337.0
2000.11,김해공항,공항,25911.0,219540.0,-193629.0
2000.11,진해항,항구,25375.0,3872.0,21503.0
2000.11,청주공항,공항,5921.0,0.0,5921.0
2000.11,속초공항(삼척항),공항항구,1578.0,1489.0,88.0
2000.11,인천공항국제우편세관,세관,1287.0,343.0,944.0
2000.11,대구공항,공항,829.0,182.0,647.0
2000.11,서울세관,세관,29.0,49.0,-20.0
2000.12,부산항,항구,5756300.0,3534878.0,2221422.0
2000.12,김포공항,공항,4212942.0,4319749.0,-106806.0
2000.12,포항(공)항,공항항구,142891.0,156878.0,-13987.0
2000.12,군산(공)항,공항항구,86312.0,64213.0,22099.0
2000.12,김해공항,공항,24245.0,199135.0,-174890.0
2000.12,진해항,항구,23732.0,2790.0,20942.0
2000.12,청주공항,공항,4985.0,334.0,4651.0
2000.12,속초공항(삼척항),공항항구,1810.0,581.0,1229.0
2000.12,인천공항국제우편세관,세관,1461.0,628.0,833.0
2000.12,대구공항,공항,852.0,141.0,710.0
2000.12,서울세관,세관,28.0,390.0,-362.0
2001.01,부산항,항구,4621242.0,3334645.0,1286596.0
2001.01,김포공항,공항,3599287.0,3884737.0,-285450.0
2001.01,포항(공)항,공항항구,138655.0,184360.0,-45706.0
2001.01,군산(공)항,공항항구,69937.0,68419.0,1518.0
2001.01,김해공항,공항,25411.0,140526.0,-115115.0
2001.01,진해항,항구,24835.0,5125.0,19709.0
2001.01,청주공항,공항,1276.0,0.0,1276.0
2001.01,속초공항(삼척항),공항항구,1075.0,453.0,622.0
2001.01,인천공항국제우편세관,세관,995.0,272.0,723.0
2001.01,대구공항,공항,706.0,79.0,628.0
2001.01,인천공항,공항,251.0,37.0,214.0
2001.01,서울세관,세관,8.0,179.0,-171.0
2001.01,오산공항,공항,0.0,27.0,-27.0
2001.02,부산항,항구,5247400.0,3396323.0,1851078.0
2001.02,김포공항,공항,3497080.0,3861947.0,-364868.0
2001.02,포항(공)항,공항항구,148023.0,129968.0,18055.0
2001.02,군산(공)항,공항항구,66614.0,62608.0,4006.0
2001.02,김해공항,공항,25866.0,129168.0,-103302.0
2001.02,진해항,항구,23274.0,6225.0,17049.0
2001.02,속초공항(삼척항),공항항구,1392.0,1024.0,368.0
2001.02,청주공항,공항,1188.0,0.0,1188.0
2001.02,인천공항국제우편세관,세관,1076.0,327.0,750.0
2001.02,대구공항,공항,889.0,83.0,806.0
2001.02,인천공항,공항,551.0,28.0,524.0
2001.02,서울세관,세관,18.0,60.0,-42.0
2001.02,광주공항,공항,14.0,0.0,14.0
2001.03,부산항,항구,5779698.0,3712378.0,2067320.0
2001.03,김포공항,공항,3120210.0,3960061.0,-839851.0
2001.03,인천공항,공항,409377.0,76674.0,332703.0
2001.03,포항(공)항,공항항구,145800.0,189698.0,-43898.0
2001.03,군산(공)항,공항항구,61150.0,74606.0,-13456.0
2001.03,진해항,항구,46151.0,9955.0,36197.0
2001.03,김해공항,공항,28440.0,150286.0,-121846.0
2001.03,청주공항,공항,1833.0,6.0,1827.0
2001.03,속초공항(삼척항),공항항구,1499.0,587.0,912.0
2001.03,인천공항국제우편세관,세관,1218.0,266.0,952.0
2001.03,대구공항,공항,946.0,114.0,832.0
2001.03,서울세관,세관,57.0,102.0,-45.0
2001.04,부산항,항구,5208460.0,3457757.0,1750703.0
2001.04,인천공항,공항,2908470.0,2703292.0,205178.0
2001.04,포항(공)항,공항항구,145372.0,141599.0,3774.0
2001.04,군산(공)항,공항항구,86502.0,65576.0,20926.0
2001.04,김포공항,공항,34156.0,640278.0,-606122.0
2001.04,김해공항,공항,16634.0,158117.0,-141483.0
2001.04,인천공항국제우편세관,세관,1450.0,404.0,1046.0
2001.04,속초공항(삼척항),공항항구,1265.0,436.0,829.0
2001.04,청주공항,공항,1059.0,0.0,1059.0
2001.04,대구공항,공항,802.0,101.0,701.0
2001.04,진해항,항구,452.0,5566.0,-5114.0
2001.04,서울세관,세관,12.0,59.0,-47.0
2001.05,부산항,항구,5409898.0,3607949.0,1801949.0
2001.05,인천공항,공항,3085509.0,3119687.0,-34178.0
2001.05,포항(공)항,공항항구,148402.0,166225.0,-17823.0
2001.05,군산(공)항,공항항구,87770.0,64155.0,23615.0
2001.05,진해항,항구,42875.0,7486.0,35389.0
2001.05,김해공항,공항,16695.0,140756.0,-124061.0
2001.05,김포공항,공항,11501.0,146788.0,-135288.0
2001.05,속초공항(삼척항),공항항구,2881.0,578.0,2303.0
2001.05,인천공항국제우편세관,세관,1236.0,500.0,735.0
2001.05,청주공항,공항,954.0,2104.0,-1150.0
2001.05,대구공항,공항,818.0,143.0,674.0
2001.05,서울세관,세관,10.0,232.0,-221.0
2001.06,부산항,항구,5253884.0,3393627.0,1860257.0
2001.06,인천공항,공항,3206037.0,3303417.0,-97381.0
2001.06,포항(공)항,공항항구,124617.0,205587.0,-80970.0
2001.06,군산(공)항,공항항구,90378.0,77248.0,13130.0
2001.06,진해항,항구,20070.0,5687.0,14382.0
2001.06,김해공항,공항,16203.0,149246.0,-133043.0
2001.06,김포공항,공항,7117.0,71291.0,-64174.0
2001.06,청주공항,공항,3017.0,401.0,2616.0
2001.06,속초공항(삼척항),공항항구,2816.0,804.0,2012.0
2001.06,인천공항국제우편세관,세관,1289.0,320.0,969.0
2001.06,대구공항,공항,847.0,114.0,733.0
2001.06,서울세관,세관,31.0,0.0,31.0
2001.07,부산항,항구,4909830.0,3395940.0,1513889.0
2001.07,인천공항,공항,2654010.0,3327196.0,-673186.0
2001.07,포항(공)항,공항항구,147603.0,192930.0,-45328.0
2001.07,군산(공)항,공항항구,92380.0,45122.0,47259.0
2001.07,진해항,항구,40253.0,19426.0,20827.0
2001.07,김해공항,공항,16320.0,120998.0,-104678.0
2001.07,김포공항,공항,5945.0,67709.0,-61765.0
2001.07,청주공항,공항,2050.0,0.0,2050.0
2001.07,속초공항(삼척항),공항항구,1665.0,634.0,1031.0
2001.07,인천공항국제우편세관,세관,1281.0,298.0,983.0
2001.07,대구공항,공항,798.0,98.0,700.0
2001.07,서울세관,세관,12.0,0.0,12.0
2001.08,부산항,항구,4719755.0,3527396.0,1192359.0
2001.08,인천공항,공항,2886370.0,3249479.0,-363109.0
2001.08,포항(공)항,공항항구,145367.0,188432.0,-43065.0
2001.08,군산(공)항,공항항구,73343.0,69469.0,3874.0
2001.08,진해항,항구,19757.0,7066.0,12691.0
2001.08,김해공항,공항,16561.0,154453.0,-137892.0
2001.08,김포공항,공항,5327.0,48500.0,-43173.0
2001.08,청주공항,공항,2274.0,376.0,1898.0
2001.08,속초공항(삼척항),공항항구,2213.0,3584.0,-1371.0
2001.08,인천공항국제우편세관,세관,1026.0,294.0,732.0
2001.08,대구공항,공항,842.0,100.0,741.0
2001.08,서울세관,세관,45.0,254.0,-210.0
2001.09,부산항,항구,5216778.0,3428033.0,1788745.0
2001.09,인천공항,공항,3275805.0,3336034.0,-60229.0
2001.09,포항(공)항,공항항구,131020.0,171178.0,-40158.0
2001.09,군산(공)항,공항항구,78090.0,64856.0,13235.0
2001.09,김해공항,공항,27217.0,147593.0,-120377.0
2001.09,진해항,항구,22009.0,9643.0,12366.0
